@@,country,cabinet
->,Q55,Q126527270->Q110111120
->,Q45,Q134130064->Q110819776
->,Q41,NULL->Q65184515
->,Q40,NULL->Q109907459
->,Q34,Q930729->Q114671310
->,Q33,NULL->Q77972346
->,Q31,Q131995381->Q99749625
->,Q27,NULL->Q116444083
->,Q229,Q116847231->Q16146568
->,Q224,Q125965820->Q97652364
->,Q219,Q138338077->Q116620523
->,Q218,Q131546294->Q109680585
->,Q214,NULL->Q106303161
->,Q213,Q136505245->Q109453202
->,Q183,Q133849523->Q109712556
---,Q37,Q136378663
---,Q36,Q123752134
---,Q36,Q11816751
---,Q32,Q123472704
---,Q32,Q110473015
---,Q29,Q123463301
---,Q29,Q120674630
---,Q215,Q11918478
---,Q191,Q127692629
---,Q191,Q117481522
---,Q142,Q2366397
---,Q142,Q136471473
---,Q142,Q112894205
+++,Q36,Q75110838
+++,Q32,Q59461371
+++,Q29,Q80922158
+++,Q191,Q113136898
+++,Q142,Q112042684
